id,ordinary_formula,charge,mass,energy,hform,lj_epsilon,lj_sigma
539,CCl2+,1,82.9167,,,,
540,CCl+,1,82.9167,,,,
541,CCl3+2,2,118.3697,,,,
542,CCl2+2,2,82.9167,,,,
624,C3H3,0,39.0559,,,,
625,C3H4+,1,40.0639,,,,
626,C3H,0,37.04,,,,
627,C3H6,0,42.0797,,,,
628,C3H7+,1,43.0877,,,,
629,C3H+,1,37.04,,,,
630,C2H+2,2,25.0293,,,,
631,C3H3+2,2,39.0559,,,,
633,C3H7,0,43.0877,,100.25,,
634,C3H3+,1,39.0559,,,,
635,C3H5,0,41.0718,,,,
636,C3H5+2,2,41.0718,,,,
637,C3H5+,1,41.0718,,,,
638,C3+,1,36.0321,,,,
639,C3H4,0,40.0639,,,,
640,C3H2,0,38.048,,,,
641,C2H2+2,2,26.0373,,,,
642,C2H5+2,2,29.0611,,,,
643,C3,0,36.0321,,,,
644,C3H8+,1,44.0956,,,,
645,C3H2+2,2,38.048,,,,
646,C3H4+2,2,40.0639,,,,
647,C3H2+,1,38.048,,,,
648,C3H6+,1,42.0797,,,,
649,C3H4+,1,40.0639,,,,
652,BCl,0,46.264,,,,
671,Si5H12,0,152.5228,,,,
672,Si6H14,0,182.6242,,,,
673,Si7H16,0,212.7255,,,,
674,Si8H18,0,242.8269,,,,
678,Si9H20,0,272.9283,,,,
679,Si3H7,0,91.3121,,,,
680,Si4H9,0,121.4135,,,,
681,Si5H11,0,151.5148,,,,
682,Si6H13,0,181.6162,,,,
683,Si7H15,0,211.7176,,,,
684,Si8H17,0,241.819,,,,
685,ClO+,1,51.4524,,,184.0,3.842
690,CNH+,1,27.0253,,,,
691,COS+,1,60.0751,,,,
692,F2O,0,53.99621,,,,
693,COS,0,60.075,,,,
694,H2S+,1,34.0809,,,,
696,CONH3,0,45.0406,,,,
697,HCP,0,43.9924,,,,
699,HCHO+,1,30.026,,,,
700,PH3+,1,33.99758,,,,
701,SiF2+,1,66.08231,,,,
702,C3N+,1,50.0388,,,,
703,C2OH6,0,46.0684,,,,
704,CS+,1,44.0757,,,,
705,HCP+,1,43.9924,,,,
706,F2O+,1,53.99621,,,,
707,CaF+,1,59.0764,,,,
708,C2OH6+,1,46.0684,,,,
709,PH3,0,33.99758,,,,
711,C3N,0,50.0388,,,,
712,H2S,0,34.0809,,,,
713,CS,0,44.0757,,,,
714,CNH,0,27.0253,,,,
716,CONH3+,1,45.0406,,,,
717,CaF,0,59.0764,,,,
718,NO2+,1,46.0055,,,,
719,HCHO,0,30.026,,,,
720,CH+2,2,13.01864,,,,
721,CO2+2,2,44.0095,,,,
723,CaF+2,2,59.0764,,,,
798,H2O,0,18.01528,,,,
805,C2H2+,1,26.03728,,,,
806,CH+,1,13.01864,,,,
